iter	Passed	Remaining
0	146	146019
1	148	73852
2	149	49735
3	151	37621
4	152	30423
5	154	25514
6	155	22049
7	156	19426
8	157	17378
9	159	15760
10	160	14424
11	161	13320
12	163	12403
13	164	11605
14	166	10907
15	167	10288
16	168	9755
17	169	9271
18	171	8861
19	173	8504
20	175	8171
21	177	7889
22	179	7623
23	180	7357
24	182	7110
25	183	6883
26	185	6668
27	186	6476
28	188	6297
29	189	6125
30	191	5971
31	193	5840
32	194	5694
33	195	5564
34	197	5437
35	198	5319
36	200	5205
37	201	5099
38	202	4998
39	206	4953
40	208	4865
41	209	4783
42	211	4717
43	213	4641
44	215	4564
45	216	4492
46	217	4419
47	219	4358
48	221	4298
49	223	4239
50	224	4183
51	226	4135
52	228	4086
53	230	4040
54	231	3982
55	233	3932
56	235	3891
57	236	3844
58	238	3806
59	240	3767
60	241	3720
61	242	3675
62	244	3630
63	245	3589
64	246	3548
65	248	3514
66	250	3488
67	251	3444
68	252	3405
69	253	3372
70	255	3337
71	256	3302
72	257	3268
73	258	3236
74	259	3205
75	261	3174
76	262	3150
77	264	3127
78	265	3099
79	267	3072
80	268	3046
81	269	3021
82	271	2994
83	272	2968
84	273	2939
85	274	2915
86	275	2887
87	276	2869
88	278	2850
89	280	2834
90	282	2819
91	283	2801
92	285	2784
93	286	2765
94	288	2745
95	289	2726
96	291	2709
97	292	2693
98	294	2679
99	295	2663
100	297	2648
101	298	2627
102	300	2613
103	301	2597
104	302	2582
105	304	2567
106	306	2555
107	307	2543
108	310	2535
109	312	2524
110	313	2511
111	315	2497
112	316	2484
113	318	2473
114	319	2461
115	321	2449
116	323	2441
117	325	2431
118	326	2417
119	327	2403
120	329	2394
121	331	2384
122	332	2368
123	333	2358
124	335	2348
125	337	2339
126	338	2329
127	339	2314
128	341	2303
129	343	2299
130	345	2292
131	347	2283
132	349	2275
133	350	2267
134	352	2260
135	354	2255
136	357	2249
137	358	2239
138	360	2230
139	361	2220
140	363	2213
141	365	2209
142	367	2205
143	369	2196
144	371	2189
145	373	2182
146	374	2174
147	376	2167
148	378	2160
149	380	2155
150	382	2151
151	384	2145
152	386	2137
153	387	2129
154	389	2120
155	390	2112
156	391	2104
157	393	2097
158	395	2091
159	397	2085
160	398	2077
161	400	2070
162	401	2062
163	403	2055
164	404	2047
165	406	2040
166	407	2032
167	408	2025
168	410	2020
169	412	2015
170	414	2008
171	415	2001
172	417	1995
173	418	1988
174	420	1982
175	421	1975
176	423	1969
177	425	1964
178	427	1960
179	429	1954
180	429	1944
181	431	1938
182	432	1932
183	434	1927
184	436	1922
185	438	1917
186	439	1912
187	441	1908
188	443	1902
189	444	1895
190	445	1888
191	447	1883
192	449	1877
193	450	1871
194	451	1864
195	453	1859
196	455	1854
197	456	1850
198	458	1844
199	459	1839
200	461	1834
201	463	1830
202	465	1825
203	467	1822
204	469	1819
205	471	1816
206	472	1811
207	474	1808
208	477	1805
209	478	1801
210	480	1796
211	482	1792
212	484	1791
213	486	1787
214	488	1783
215	490	1780
216	492	1777
217	494	1772
218	495	1767
219	497	1763
220	498	1758
221	500	1753
222	502	1750
223	503	1745
224	505	1741
225	507	1737
226	508	1732
227	510	1728
228	512	1724
229	513	1719
230	515	1715
231	517	1711
232	518	1707
233	520	1702
234	521	1698
235	523	1694
236	524	1689
237	526	1687
238	528	1684
239	530	1680
240	532	1677
241	534	1672
242	535	1668
243	536	1662
244	538	1657
245	539	1652
246	541	1649
247	542	1646
248	544	1641
249	545	1636
250	546	1632
251	548	1627
252	549	1622
253	550	1618
254	552	1613
255	553	1608
256	555	1605
257	557	1603
258	558	1599
259	560	1594
260	561	1591
261	563	1588
262	565	1583
263	566	1579
264	567	1574
265	569	1570
266	570	1567
267	573	1565
268	574	1561
269	576	1557
270	577	1553
271	578	1549
272	580	1544
273	581	1540
274	582	1536
275	583	1531
276	585	1529
277	588	1527
278	589	1524
279	591	1520
280	592	1516
281	593	1512
282	595	1507
283	596	1503
284	597	1499
285	599	1495
286	601	1493
287	603	1491
288	604	1487
289	606	1483
290	607	1479
291	608	1475
292	609	1471
293	611	1467
294	612	1464
295	614	1461
296	616	1458
297	618	1456
298	619	1452
299	620	1448
300	622	1444
301	623	1440
302	624	1436
303	626	1433
304	627	1429
305	629	1426
306	630	1424
307	632	1421
308	634	1418
309	635	1414
310	636	1411
311	638	1407
312	640	1405
313	641	1401
314	643	1398
315	644	1395
316	646	1393
317	648	1391
318	650	1388
319	652	1385
320	653	1383
321	655	1381
322	657	1377
323	658	1374
324	661	1372
325	663	1371
326	664	1368
327	666	1365
328	667	1362
329	669	1358
330	670	1355
331	672	1352
332	674	1350
333	676	1348
334	677	1345
335	679	1342
336	681	1339
337	682	1337
338	684	1334
339	686	1331
340	687	1328
341	689	1325
342	690	1323
343	692	1320
344	694	1318
345	696	1316
346	698	1313
347	699	1311
348	701	1308
349	703	1305
350	705	1304
351	707	1302
352	708	1299
353	710	1296
354	712	1293
355	713	1290
356	715	1288
357	717	1286
358	719	1283
359	720	1280
360	721	1277
361	723	1274
362	724	1271
363	726	1268
364	727	1265
365	728	1262
